Name,Date,Tm,Home/Away,Opp,Role,Dec,ERA,WHIP,IP,R,ER,HA,HR,SO,BB,HBP,PitOuts,Season,PA
Matthew Sauer,05/12/2026,LOTTE,,SSG,SP,L,9.0,1.8,5.0,5.0,5,7,2.0,3,2,0.0,15,2026,
Bae Dong-hyun,05/12/2026,Kiwoom,,Hanwha,SP,L,24.0,4.333,3.0,8.0,8,11,1.0,3,2,1.0,9,2026,
Moon Seung Won,05/12/2026,SSG,,KT,SP,,0.0,1.0,1.0,0.0,0,1,0.0,0,0,0.0,3,2026,
Kim Keon Woo,05/12/2026,SSG,,KT,SP,W,1.8,1.6,5.0,1.0,1,6,0.0,3,2,0.0,15,2026,
Lee Seung-hyun,05/12/2026,SAMSUNG,,LG,SP,,0.0,1.0,1.0,0.0,0,1,0.0,1,0,0.0,3,2026,
Oller Adam,05/12/2026,KIA,,Doosan,SP,L,7.5,1.167,6.0,5.0,5,6,1.0,6,1,0.0,18,2026,
Riley Thompson,05/12/2026,NC,,Lotte,SP,W,1.8,1.0,5.0,1.0,1,3,1.0,5,2,0.0,15,2026,
Elvin Rodriguez,05/12/2026,LOTTE,,NC,SP,L,9.64,2.143,4.666666666666667,5.0,5,6,0.0,8,4,2.0,14,2026,
Wilkel Hernandez,05/13/2026,LOTTE,,Kiwoom,SP,L,4.91,1.909,3.6666666666666665,3.0,2,6,0.0,6,1,1.0,11,2026,
Yang Hyeon-jong,05/13/2026,KIA,,Doosan,SP,W,3.6,1.0,5.0,2.0,2,3,2.0,4,2,0.0,15,2026,
Park Jeong Hun,05/13/2026,Kiwoom,,Hanwha,SP,W,0.0,1.312,5.333333333333333,0.0,0,3,0.0,4,4,0.0,16,2026,
Jeremy Beasley,05/13/2026,LOTTE,,NC,SP,W,6.0,2.333,6.0,4.0,4,11,0.0,7,3,0.0,18,2026,
Won Tae-in,05/13/2026,SAMSUNG,,LG,SP,L,6.0,1.5,6.0,4.0,4,9,0.0,5,0,0.0,18,2026,
Caleb Boushley,05/13/2026,KT,,SSG,SP,W,5.14,1.286,7.0,4.0,4,8,0.0,5,1,0.0,21,2026,
Anders Tolhurst,05/13/2026,LG,,Samsung,SP,W,1.5,0.667,6.0,1.0,1,3,0.0,7,1,0.0,18,2026,
Shota Takeda,05/13/2026,SSG,,KT,SP,L,27.0,4.333,3.0,9.0,9,9,1.0,5,4,0.0,9,2026,
Choi Jun Ho,05/13/2026,DOOSAN,,Kia,SP,L,12.0,2.0,3.0,4.0,4,4,2.0,3,2,0.0,9,2026,
Curtis Taylor,05/13/2026,NC,,Lotte,SP,L,14.4,2.4,5.0,8.0,8,10,0.0,2,2,1.0,15,2026,
Son Ju-young,05/13/2026,LG,,Samsung,SP,S,0.0,0.0,1.0,0.0,0,0,0.0,1,0,0.0,3,2026,
Song Seung Ki,05/14/2026,LG,,Samsung,SP,L,12.46,2.077,4.333333333333333,7.0,6,7,2.0,1,2,0.0,13,2026,
Park Jun Young,05/14/2026,HANWHA,,Kiwoom,SP,W,0.0,0.6,1.6666666666666663,0.0,0,0,0.0,1,1,0.0,5,2026,
Yang Chang-seop,05/14/2026,SAMSUNG,,LG,SP,W,1.8,1.0,5.0,2.0,1,4,1.0,3,1,0.0,15,2026,
Kim Yun-ha,05/14/2026,Kiwoom,,Hanwha,SP,,27.0,4.5,0.6666666666666666,3.0,2,2,1.0,1,1,0.0,2,2026,
Natsuki Toda,05/14/2026,NC,,Lotte,SP,W,1.5,0.667,6.0,1.0,1,4,0.0,5,0,0.0,18,2026,
Anthony Veneziano,05/14/2026,SSG,,KT,SP,,32.4,5.4,1.6666666666666663,6.0,6,4,2.0,1,5,0.0,5,2026,
An Woo-jin,05/14/2026,Kiwoom,,Hanwha,SP,L,5.4,1.0,5.0,3.0,3,5,1.0,7,0,0.0,15,2026,
Oh Won-seok,05/14/2026,KT,,SSG,SP,,21.0,3.0,3.0,7.0,7,7,1.0,3,2,0.0,9,2026,
Na Gyun-an,05/14/2026,LOTTE,,NC,SP,L,5.79,2.143,4.666666666666667,3.0,3,7,1.0,6,3,0.0,14,2026,
Moon Seung Won,05/14/2026,SSG,,KT,SP,W,9.0,2.0,1.0,2.0,1,2,0.0,1,0,0.0,3,2026,
Lee Seung-hyun,05/14/2026,SAMSUNG,,LG,SP,,0.0,0.0,0.6666666666666666,0.0,0,0,0.0,0,0,0.0,2,2026,
Kim Jin-uk,05/15/2026,LOTTE,,Doosan,SP,,8.31,2.308,4.333333333333333,4.0,4,8,0.0,1,2,1.0,13,2026,
Son Ju-young,05/15/2026,LG,,SSG,SP,S,0.0,1.0,1.0,0.0,0,0,0.0,1,1,0.0,3,2026,
Gwak Been,05/15/2026,DOOSAN,,Lotte,SP,,5.4,1.8,5.0,4.0,3,7,0.0,5,2,0.0,15,2026,
James Naile,05/15/2026,KIA,,Samsung,SP,,1.5,0.833,6.0,1.0,1,5,0.0,3,0,0.0,18,2026,
Yonny Chirinos,05/15/2026,LG,,SSG,SP,,3.6,1.0,5.0,3.0,2,4,0.0,1,1,0.0,15,2026,
Wang Yan-cheng,05/15/2026,HANWHA,,KT,SP,W,3.6,1.6,5.0,2.0,2,5,0.0,8,3,1.0,15,2026,
Raul Alcántara,05/15/2026,Kiwoom,,NC,SP,W,1.29,0.571,7.0,1.0,1,4,0.0,6,0,0.0,21,2026,
Shin Min-hyeok,05/15/2026,NC,,Kiwoom,SP,L,0.0,1.5,1.3333333333333333,2.0,0,1,0.0,0,1,0.0,4,2026,
Ko Young-pyo,05/15/2026,KT,,Hanwha,SP,L,3.86,0.714,7.0,3.0,3,5,1.0,10,0,0.0,21,2026,
Ariel Jurado,05/15/2026,SAMSUNG,,Kia,SP,,3.86,1.429,7.0,3.0,3,10,0.0,7,0,0.0,21,2026,
Lee Seung-hyun,05/16/2026,SAMSUNG,,Kia,SP,H,0.0,0.0,1.0,0.0,0,0,0.0,1,0,0.0,3,2026,
Lee Eui Lee,05/16/2026,KIA,,Samsung,SP,L,5.06,1.312,5.333333333333333,3.0,3,4,1.0,6,3,0.0,16,2026,
Kenny Rosenberg,05/16/2026,Kiwoom,,NC,SP,,3.86,1.714,2.333333333333333,1.0,1,2,0.0,3,2,1.0,7,2026,
Jack O'loughlin,05/16/2026,SAMSUNG,,Kia,SP,W,3.0,1.0,6.0,2.0,2,4,1.0,5,2,0.0,18,2026,
Zach Logue,05/16/2026,DOOSAN,,Lotte,SP,,9.0,1.667,6.0,6.0,6,10,2.0,2,0,0.0,18,2026,
Owen White,05/16/2026,HANWHA,,KT,SP,W,1.42,0.632,6.333333333333333,2.0,1,3,0.0,4,1,0.0,19,2026,
Park Se Woong,05/16/2026,LOTTE,,Doosan,SP,,10.8,2.2,5.0,6.0,6,7,0.0,2,4,0.0,15,2026,
Ha Yeong-min,05/16/2026,Kiwoom,,NC,SP,L,2.45,0.818,3.6666666666666665,1.0,1,1,0.0,5,2,1.0,11,2026,
Bae Je Seong,05/16/2026,KT,,Hanwha,SP,L,12.0,2.667,3.0,4.0,4,5,1.0,1,3,0.0,9,2026,
Chang Mo Koo,05/16/2026,LOTTE,,Kiwoom,SP,W,1.29,1.286,7.0,1.0,1,6,0.0,6,3,0.0,21,2026,
Choi Min Jun,05/16/2026,SSG,,LG,SP,,3.6,1.0,5.0,2.0,2,3,1.0,3,2,0.0,15,2026,
Son Ju-young,05/17/2026,LG,,SSG,SP,S,0.0,1.0,1.0,0.0,0,1,0.0,2,0,0.0,3,2026,
Riley Thompson,05/17/2026,NC,,Kiwoom,SP,,1.29,0.571,7.0,1.0,1,4,1.0,8,0,0.0,21,2026,
Choi Won-tae,05/17/2026,SAMSUNG,,Kia,SP,L,15.75,2.5,4.0,7.0,7,8,1.0,4,2,0.0,12,2026,
Choi Jun Ho,05/17/2026,DOOSAN,,Lotte,SP,W,4.5,0.5,2.0,1.0,1,1,1.0,3,0,0.0,6,2026,
Lee Seung-hyun,05/17/2026,SAMSUNG,,Kia,SP,,0.0,0.0,0.0,3.0,1,3,0.0,0,0,0.0,0,2026,
Kim Keon Woo,05/17/2026,SSG,,LG,SP,L,9.0,1.4,5.0,5.0,5,4,2.0,4,3,0.0,15,2026,
Matthew Sauer,05/17/2026,LOTTE,,Hanwha,SP,,5.4,1.6,5.0,3.0,3,4,0.0,6,4,0.0,15,2026,
Im Chan Kyu,05/17/2026,LG,,SSG,SP,W,4.5,1.167,6.0,3.0,3,6,2.0,3,1,0.0,18,2026,
Ryu Hyun-jin,05/17/2026,HANWHA,,KT,SP,,3.6,1.2,5.0,2.0,2,5,0.0,3,1,0.0,15,2026,
Elvin Rodriguez,05/17/2026,LOTTE,,Doosan,SP,L,3.0,1.167,6.0,4.0,2,7,1.0,6,0,0.0,18,2026,
Choi Seung-yong,05/17/2026,DOOSAN,,Lotte,SP,,1.5,1.167,6.0,1.0,1,7,1.0,4,0,0.0,18,2026,
Park Jun Hyun,05/17/2026,Kiwoom,,NC,SP,,1.5,1.167,6.0,1.0,1,5,0.0,9,2,0.0,18,2026,
Park Jun Young,05/19/2026,HANWHA,,Lotte,SP,,0.0,1.0,1.0,0.0,0,1,0.0,0,0,0.0,3,2026,
Curtis Taylor,05/19/2026,NC,,Doosan,SP,L,5.4,2.0,5.0,4.0,3,7,0.0,3,3,0.0,15,2026,
Caleb Boushley,05/19/2026,KT,,Samsung,SP,L,5.79,2.357,4.666666666666667,4.0,3,10,0.0,4,1,0.0,14,2026,
Adam Oller,05/19/2026,KIA,,LG,SP,W,0.0,1.0,6.0,0.0,0,4,0.0,10,2,0.0,18,2026,
Won Tae-in,05/19/2026,SAMSUNG,,KT,SP,W,1.5,1.167,6.0,1.0,1,5,0.0,6,2,0.0,18,2026,
Shota Takeda,05/19/2026,SSG,,Kiwoom,SP,,5.4,2.2,5.0,4.0,3,8,0.0,3,3,0.0,15,2026,
Moon Seung Won,05/19/2026,SSG,,Kiwoom,SP,H,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0.0,3,2026,
Anders Tolhurst,05/19/2026,LG,,Kia,SP,L,27.0,3.0,0.3333333333333333,1.0,1,1,1.0,1,0,1.0,1,2026,
Park Jeong Hun,05/19/2026,Kiwoom,,SSG,SP,,7.5,1.5,6.0,5.0,5,6,1.0,2,3,1.0,18,2026,
Wilkel Hernandez,05/19/2026,LOTTE,,Lotte,SP,,3.38,1.5,5.333333333333333,2.0,2,6,1.0,4,2,0.0,16,2026,
Jeremy Beasley,05/19/2026,LOTTE,,Hanwha,SP,,7.2,1.6,5.0,4.0,4,5,1.0,4,3,1.0,15,2026,
Anthony Veneziano,05/20/2026,SSG,,Kiwoom,SP,,1.69,1.125,5.333333333333333,2.0,1,5,1.0,5,1,1.0,16,2026,
Ha Yeong-min,05/20/2026,Kiwoom,,SSG,SP,,3.6,1.2,5.0,2.0,2,6,0.0,6,0,0.0,15,2026,
Moon Seung Won,05/20/2026,SSG,,Kiwoom,SP,H,0.0,1.0,1.0,0.0,0,1,0.0,1,0,0.0,3,2026,
Son Ju-young,05/21/2026,LG,,Kia,SP,S,6.75,2.25,1.3333333333333333,1.0,1,2,0.0,1,1,0.0,4,2026,
Natsuki Toda,05/21/2026,NC,,Doosan,SP,L,0.0,1.588,5.666666666666667,1.0,0,8,0.0,5,1,0.0,17,2026,
Ariel Jurado,05/21/2026,SAMSUNG,,KT,SP,,3.18,1.765,5.666666666666667,4.0,2,8,1.0,5,2,1.0,17,2026,
James Naile,05/21/2026,KIA,,LG,SP,L,8.44,1.5,5.333333333333333,5.0,5,6,0.0,4,2,2.0,16,2026,
Oh Won-seok,05/21/2026,KT,,Samsung,SP,,6.75,1.688,5.333333333333333,4.0,4,8,0.0,3,1,0.0,16,2026,
Raul Alcántara,05/21/2026,Kiwoom,,SSG,SP,W,0.0,0.375,8.0,0.0,0,2,0.0,8,1,0.0,24,2026,
Yonny Chirinos,05/21/2026,LG,,Kia,SP,W,1.69,1.312,5.333333333333333,1.0,1,4,1.0,4,3,1.0,16,2026,
Na Gyun-an,05/21/2026,LOTTE,,Hanwha,SP,W,0.0,1.125,5.333333333333333,2.0,0,5,0.0,6,1,0.0,16,2026,
Park Jun Young,05/21/2026,HANWHA,,Lotte,SP,,0.0,0.0,1.0,0.0,0,0,0.0,2,0,0.0,3,2026,
Kenny Rosenberg,05/22/2026,Kiwoom,,LG,SP,,0.0,1.25,4.0,0.0,0,3,0.0,6,2,0.0,12,2026,
Choi Min Jun,05/22/2026,SSG,,Kia,SP,L,5.06,1.312,5.333333333333333,3.0,3,5,0.0,5,2,0.0,16,2026,
Choi Jun Ho,05/22/2026,DOOSAN,,Hanwha,SP,,0.0,2.0,1.0,2.0,0,1,0.0,2,1,0.0,3,2026,
Ko Young-pyo,05/22/2026,KT,,NC,SP,,6.0,1.0,6.0,4.0,4,5,0.0,4,1,1.0,18,2026,
Kim Jin-uk,05/22/2026,LOTTE,,Samsung,SP,L,3.0,1.333,6.0,7.0,2,7,1.0,4,1,0.0,18,2026,
Wang Yan-cheng,05/22/2026,HANWHA,,Doosan,SP,W,2.57,0.857,7.0,2.0,2,5,0.0,6,1,0.0,21,2026,
Gwak Been,05/22/2026,DOOSAN,,Hanwha,SP,L,1.8,1.0,5.0,1.0,1,5,0.0,9,0,0.0,15,2026,
Jack O'loughlin,05/22/2026,SAMSUNG,,Lotte,SP,W,6.75,1.5,5.333333333333333,5.0,4,5,2.0,2,3,0.0,16,2026,
Yang Hyeon-jong,05/23/2026,KIA,,SSG,SP,,5.4,1.0,5.0,4.0,3,5,1.0,3,0,0.0,15,2026,
Son Ju-young,05/23/2026,LG,,Kiwoom,SP,S,0.0,1.0,1.0,0.0,0,1,0.0,1,0,0.0,3,2026,
Chang Mo Koo,05/23/2026,LOTTE,,KT,SP,L,20.25,4.5,2.6666666666666665,9.0,6,10,0.0,2,2,1.0,8,2026,
Kim Keon Woo,05/23/2026,SSG,,Kia,SP,,0.0,1.5,5.333333333333333,1.0,0,4,0.0,6,4,1.0,16,2026,
Im Chan Kyu,05/23/2026,LG,,Kiwoom,SP,W,3.0,1.5,6.0,2.0,2,6,1.0,4,3,0.0,18,2026,
Zach Logue,05/23/2026,DOOSAN,,Hanwha,SP,,3.6,1.8,5.0,2.0,2,8,0.0,9,1,0.0,15,2026,
Owen White,05/23/2026,HANWHA,,Doosan,SP,,1.8,1.0,5.0,1.0,1,5,0.0,3,0,1.0,15,2026,
Park Se Woong,05/23/2026,LOTTE,,Samsung,SP,,2.84,1.737,6.333333333333333,2.0,2,8,0.0,4,3,0.0,19,2026,
Matthew Sauer,05/23/2026,LOTTE,,NC,SP,W,6.75,1.688,5.333333333333333,4.0,4,9,1.0,3,0,4.0,16,2026,
Bae Dong-hyun,05/23/2026,Kiwoom,,LG,SP,L,9.0,2.0,4.0,4.0,4,8,0.0,3,0,0.0,12,2026,
Moon Seung Won,05/23/2026,SSG,,Kia,SP,H,0.0,0.0,0.6666666666666666,0.0,0,0,0.0,0,0,0.0,2,2026,
