Player,URL,Year,Team,ERA,WHIP,W,L,SV,H,BSV,G,GS,CG(SHO),QS,TBF,NP,IP,R,ER,H,2B,3B,HR,SO,BB,IBB,HB,WP,BK
Kim Kwang-hyun,https://mykbostats.com/players/396,2023,SSG,3.53,1.38,9,8,0,0,0,30,30,0 (0),16,713,2798,168 ⅓,75,66,163,30,0,11,119,70,0,2,5,0
Kim Kwang-hyun,https://mykbostats.com/players/396,2022,SSG,2.13,1.07,13,3,0,0,0,28,28,0 (0),19,694,2634,173 ⅓,48,41,141,16,2,10,153,45,2,5,1,0
Kim Kwang-hyun,https://mykbostats.com/players/396,2019,SK,2.51,1.24,17,6,0,0,0,31,30,0 (0),24,786,2908,190 ⅓,64,53,198,17,0,13,180,38,1,2,8,0
Kim Kwang-hyun,https://mykbostats.com/players/396,2018,SK,2.98,1.14,11,8,0,0,0,25,25,0 (0),12,554,2146,136,48,45,125,16,2,16,130,30,0,2,3,0
Kim Kwang-hyun,https://mykbostats.com/players/396,2016,SK,3.88,1.31,11,8,0,1,0,27,21,1 (0),15,583,2180,137,68,59,139,21,2,17,116,41,2,6,3,0
Kim Kwang-hyun,https://mykbostats.com/players/396,2015,SK,3.72,1.35,14,6,0,1,0,30,29,1 (1),16,754,2896,176 ⅔,86,73,173,33,0,19,160,66,2,3,10,0
Kim Kwang-hyun,https://mykbostats.com/players/396,2014,SK,3.42,1.49,13,9,0,0,0,28,28,1 (0),15,749,3009,173 ⅔,77,66,178,36,4,10,145,81,1,3,9,1
Kim Kwang-hyun,https://mykbostats.com/players/396,2013,SK,4.47,1.47,10,9,0,0,1,25,,0 (0),9,580,2273,133,72,66,128,31,3,12,102,68,0,4,9,1
Kim Kwang-hyun,https://mykbostats.com/players/396,2012,SK,4.30,1.48,8,5,0,0,,16,,0 (0),,347,,81 ⅔,44,39,85,,,9,65,36,,2,,
Kim Kwang-hyun,https://mykbostats.com/players/396,2011,SK,4.84,1.55,4,6,0,0,,17,,1 (0),,328,,74 ⅓,45,40,70,,,6,61,45,,2,,
Kim Kwang-hyun,https://mykbostats.com/players/396,2010,SK,2.37,1.22,17,7,0,0,,31,,2 (1),,797,,193 ⅔,56,51,153,,,13,183,84,,5,,
Kim Kwang-hyun,https://mykbostats.com/players/396,2009,SK,2.80,1.26,12,2,0,0,,21,,1 (0),,568,,138 ⅓,46,43,121,,,14,112,53,,4,,
Kim Kwang-hyun,https://mykbostats.com/players/396,2008,SK,2.39,1.17,16,4,0,0,,27,,1 (1),,659,,162,50,43,127,,,9,150,63,,2,,
Kim Kwang-hyun,https://mykbostats.com/players/396,2007,SK,3.62,1.57,3,7,0,0,,20,,0 (0),,342,,77,35,31,80,,,5,52,41,,4,,
Kim Kwang-hyun,https://mykbostats.com/players/396,Career,,3.33,1.32,172,104,0,2,,398,,8 (3),,9427,,2238 ⅓,938,829,2105,,,193,1941,853,,55,,
Choi Min-seok,https://mykbostats.com/players/2746,2025,Doosan,4.50,1.25,0,1,0,0,0,1,1,0 (0),0,18,75,4,3,2,2,0,0,0,3,3,0,0,0,0
Choi Min-seok,https://mykbostats.com/players/2746,Career,,4.50,1.25,0,1,0,0,,1,,0 (0),,18,,4,3,2,2,,,0,3,3,,0,,
