PCode,Name,Team,Season,VS LEFTY_AVG,VS LEFTY_AB,VS LEFTY_H,VS LEFTY_2B,VS LEFTY_3B,VS LEFTY_HR,VS LEFTY_RBI,VS LEFTY_BB,VS LEFTY_HBP,VS LEFTY_SO,VS LEFTY_GIDP,VS RIGHTY_AVG,VS RIGHTY_AB,VS RIGHTY_H,VS RIGHTY_2B,VS RIGHTY_3B,VS RIGHTY_HR,VS RIGHTY_RBI,VS RIGHTY_BB,VS RIGHTY_HBP,VS RIGHTY_SO,VS RIGHTY_GIDP
65207,Shin Min-jae,LG,2026,0.2,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.179,28,5,0,0,0,1,2,0,7,2
50500,Hwang Seong-bin,Lotte,2026,0.667,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.267,15,4,0,0,0,0,0,0,4,0
78513,Jeon Jun-woo,Lotte,2026,0.333,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.174,23,4,1,0,0,0,3,0,2,0
61102,Kang-nam Yoo,Lotte,2026,0.4,5.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.19,21,4,0,0,0,2,0,0,3,1
50150,Son Ho-young,Lotte,2026,0.2,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.211,19,4,0,0,1,1,3,0,3,1
54529,Victor Reyes,Lotte,2026,0.571,7.0,4.0,1.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.174,23,4,0,0,2,4,6,0,3,1
52591,Yoon Dong-hee,Lotte,2026,0.167,6.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.231,26,6,1,0,2,4,2,0,4,1
51907,Kim Ju-won,NC,2026,0.167,6.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.12,25,3,1,0,0,0,3,2,5,0
63963,Kwon Hui-dong,NC,2026,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,2,0,1,0
54944,Matthew Davidson,NC,2026,0.2,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.292,24,7,1,0,1,3,4,0,5,1
62907,Park Min-woo,NC,2026,0.375,8.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.455,22,10,4,0,1,5,4,0,1,0
77532,Son Ah-seop,NC,2026,,,,,,,,,,,,0.0,1,0,0,0,0,0,0,0,0,0
75847,Choi Jeong,SSG,2026,0.4,5.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.4,20,8,4,0,0,2,7,2,3,0
50854,Choi Ji-Hoon,SSG,2026,0.286,7.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.25,20,5,2,0,1,4,6,1,2,1
53827,Guillermo Heredia,SSG,2026,0.286,7.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.3,30,9,1,0,3,8,0,0,6,1
62895,Han Yoo-seom,SSG,2026,0.25,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,14,3,0,0,0,1,3,0,5,1
76267,Choi Joo-hwan,Kiwoom,2026,0.5,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,18,4,1,0,0,2,1,0,4,3
53764,Moon Hyun-bin,Hanwha,2026,0.429,7.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.286,21,6,3,0,1,7,5,1,3,1
67449,Kim Seong-yoon,Samsung,2026,0.429,7.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.368,19,7,3,0,0,4,0,1,1,0
52001,Ahn Hyun-min,KT,2026,0.25,8.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.44,25,11,2,1,1,7,5,2,6,0
55392,Eo Joon-seo,Unknown,2026,0.444,9.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.158,19,3,0,0,0,0,2,0,3,0
64340,Im Ji-yeol,Kiwoom,2026,0.333,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.333,3,1,0,0,0,0,1,0,0,0
69636,Oh Sun-woo,Kia,2026,0.143,7.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.091,11,1,0,0,0,0,1,0,6,0
