Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
123.0,Kyle Manzardo*,24.0,CLE,AL,0.4,30.0,121.0,102.0,13.0,21.0,3.0,1.0,8.0,20.0,0.0,0.0,15.0,33.0,0.206,0.306,0.49,0.796,126.0,0.337,119.0,50.0,1.0,1.0,0.0,3.0,1.0,*D/3H,
124.0,Mike Trout,33.0,LAA,AL,-0.1,29.0,121.0,106.0,14.0,19.0,1.0,1.0,9.0,18.0,2.0,0.0,12.0,36.0,0.179,0.264,0.462,0.727,103.0,0.309,92.0,49.0,1.0,1.0,0.0,2.0,2.0,*9/D,
125.0,Luis García Jr.*,25.0,WSN,NL,-0.2,30.0,120.0,108.0,15.0,25.0,5.0,0.0,2.0,10.0,6.0,0.0,8.0,16.0,0.231,0.283,0.333,0.617,76.0,0.292,75.0,36.0,0.0,1.0,0.0,3.0,0.0,*4/H,
126.0,Kyle Stowers*,27.0,MIA,NL,0.8,30.0,120.0,105.0,17.0,34.0,4.0,1.0,6.0,25.0,2.0,1.0,12.0,33.0,0.324,0.392,0.552,0.944,155.0,0.402,151.0,58.0,3.0,1.0,0.0,2.0,0.0,*9/7HD,
127.0,Max Kepler*,32.0,PHI,NL,0.7,30.0,119.0,106.0,18.0,28.0,7.0,0.0,5.0,10.0,0.0,0.0,12.0,22.0,0.264,0.345,0.472,0.816,127.0,0.355,123.0,50.0,2.0,1.0,0.0,0.0,1.0,*7/9H,
128.0,Otto López,26.0,MIA,NL,0.5,30.0,119.0,109.0,15.0,25.0,5.0,0.0,2.0,11.0,3.0,1.0,10.0,17.0,0.229,0.294,0.33,0.624,71.0,0.287,68.0,36.0,3.0,0.0,0.0,0.0,1.0,*4/6,
129.0,Keibert Ruiz#,26.0,WSN,NL,0.4,30.0,119.0,110.0,11.0,32.0,4.0,0.0,2.0,13.0,0.0,1.0,7.0,14.0,0.291,0.345,0.382,0.726,108.0,0.338,119.0,42.0,2.0,2.0,0.0,0.0,0.0,*2/H,
130.0,Lenyn Sosa,25.0,CHW,AL,0.1,32.0,119.0,115.0,10.0,29.0,4.0,0.0,2.0,8.0,0.0,0.0,3.0,27.0,0.252,0.271,0.339,0.61,76.0,0.276,75.0,39.0,3.0,0.0,1.0,0.0,0.0,*4/3H5D,
131.0,Mike Yastrzemski*,34.0,SFG,NL,1.2,30.0,119.0,102.0,14.0,28.0,7.0,0.0,5.0,15.0,2.0,2.0,16.0,24.0,0.275,0.378,0.49,0.868,151.0,0.382,156.0,50.0,2.0,1.0,0.0,0.0,1.0,*9/H,
132.0,Max Muncy*,34.0,LAD,NL,0.4,31.0,118.0,98.0,7.0,18.0,5.0,1.0,1.0,5.0,0.0,0.0,17.0,37.0,0.184,0.314,0.286,0.599,74.0,0.282,76.0,28.0,2.0,2.0,0.0,1.0,0.0,*5/H,
133.0,Ben Rice*,26.0,NYY,AL,0.9,29.0,118.0,102.0,22.0,26.0,5.0,1.0,8.0,13.0,2.0,1.0,13.0,30.0,0.255,0.356,0.559,0.915,159.0,0.393,159.0,57.0,3.0,3.0,0.0,0.0,0.0,*D/32H,
134.0,Michael Conforto*,32.0,LAD,NL,-0.6,30.0,117.0,97.0,16.0,14.0,4.0,0.0,2.0,6.0,1.0,0.0,18.0,36.0,0.144,0.291,0.247,0.538,57.0,0.261,60.0,24.0,6.0,2.0,0.0,0.0,0.0,*7/H,
135.0,Michael Massey*,27.0,KCR,AL,-0.9,31.0,116.0,108.0,4.0,22.0,4.0,0.0,0.0,10.0,0.0,0.0,2.0,19.0,0.204,0.217,0.241,0.458,30.0,0.199,13.0,26.0,3.0,1.0,1.0,4.0,0.0,*4/DH,
136.0,Andy Pages,24.0,LAD,NL,1.4,30.0,116.0,104.0,15.0,28.0,4.0,0.0,6.0,14.0,3.0,1.0,9.0,29.0,0.269,0.345,0.481,0.826,134.0,0.363,133.0,50.0,0.0,3.0,0.0,0.0,0.0,*8/97,
137.0,Luis Rengifo#,28.0,LAA,AL,-1.1,31.0,115.0,110.0,9.0,25.0,5.0,0.0,1.0,9.0,1.0,2.0,4.0,18.0,0.227,0.252,0.3,0.552,57.0,0.245,53.0,33.0,5.0,0.0,0.0,1.0,0.0,*5/4H,
138.0,Trey Sweeney*,25.0,DET,AL,0.2,33.0,115.0,102.0,15.0,21.0,2.0,1.0,2.0,9.0,2.0,0.0,13.0,26.0,0.206,0.296,0.304,0.6,75.0,0.276,72.0,31.0,1.0,0.0,0.0,0.0,0.0,*6/H,
139.0,Rhys Hoskins,32.0,MIL,NL,0.4,31.0,114.0,94.0,8.0,25.0,2.0,0.0,4.0,14.0,1.0,1.0,17.0,24.0,0.266,0.386,0.415,0.801,125.0,0.363,131.0,39.0,2.0,2.0,0.0,1.0,1.0,*3/HD,
140.0,J.T. Realmuto,34.0,PHI,NL,0.5,28.0,114.0,104.0,11.0,25.0,5.0,1.0,3.0,11.0,4.0,0.0,10.0,30.0,0.24,0.307,0.394,0.701,95.0,0.324,95.0,41.0,6.0,0.0,0.0,0.0,1.0,*2/D,
141.0,Spencer Steer,27.0,CIN,NL,0.0,27.0,114.0,103.0,17.0,21.0,4.0,0.0,3.0,11.0,2.0,0.0,10.0,24.0,0.204,0.281,0.33,0.611,68.0,0.287,67.0,34.0,3.0,1.0,0.0,0.0,0.0,D3,
142.0,Luis Arráez*,28.0,SDP,NL,0.3,26.0,113.0,103.0,11.0,31.0,4.0,1.0,3.0,12.0,2.0,1.0,5.0,2.0,0.301,0.333,0.447,0.78,118.0,0.336,111.0,46.0,1.0,1.0,2.0,2.0,0.0,*3/D,
143.0,Austin Wells*,25.0,NYY,AL,0.6,29.0,113.0,101.0,10.0,21.0,6.0,1.0,6.0,18.0,0.0,0.0,8.0,24.0,0.208,0.265,0.465,0.731,106.0,0.318,104.0,47.0,3.0,1.0,0.0,3.0,0.0,*2/H,
144.0,Kerry Carpenter*,27.0,DET,AL,0.6,31.0,112.0,106.0,16.0,29.0,4.0,0.0,7.0,14.0,0.0,1.0,2.0,18.0,0.274,0.297,0.509,0.807,129.0,0.349,132.0,54.0,1.0,2.0,0.0,1.0,0.0,*7/9DH,
145.0,Triston Casas*,25.0,BOS,AL,-0.8,29.0,112.0,99.0,5.0,18.0,3.0,0.0,3.0,11.0,0.0,0.0,11.0,27.0,0.182,0.277,0.303,0.58,65.0,0.267,62.0,30.0,3.0,2.0,0.0,0.0,2.0,*3/H,
146.0,Ceddanne Rafaela,24.0,BOS,AL,0.9,30.0,112.0,101.0,17.0,21.0,2.0,1.0,2.0,15.0,7.0,0.0,7.0,22.0,0.208,0.27,0.307,0.577,63.0,0.282,62.0,31.0,0.0,2.0,1.0,1.0,0.0,*8/H,
147.0,Eric Wagaman,27.0,MIA,NL,-0.1,28.0,112.0,105.0,15.0,27.0,6.0,0.0,3.0,8.0,1.0,1.0,7.0,17.0,0.257,0.304,0.4,0.704,91.0,0.313,89.0,42.0,3.0,0.0,0.0,0.0,0.0,3/D7H5,
148.0,Victor Scott II*,24.0,STL,NL,1.2,29.0,111.0,99.0,15.0,27.0,5.0,1.0,2.0,14.0,11.0,0.0,10.0,27.0,0.273,0.336,0.404,0.74,108.0,0.349,103.0,40.0,0.0,0.0,1.0,1.0,0.0,*8/97,
149.0,Jordan Walker,23.0,STL,NL,-0.1,28.0,111.0,102.0,9.0,21.0,2.0,0.0,2.0,9.0,2.0,2.0,8.0,33.0,0.206,0.27,0.284,0.555,57.0,0.265,64.0,29.0,2.0,1.0,0.0,0.0,0.0,*9/H,
150.0,Jonathan Aranda*,27.0,TBR,AL,1.1,30.0,110.0,94.0,14.0,28.0,9.0,0.0,4.0,14.0,0.0,0.0,12.0,25.0,0.298,0.391,0.521,0.912,160.0,0.396,161.0,49.0,3.0,3.0,0.0,1.0,0.0,*3/HD,
151.0,George Springer,35.0,TOR,AL,0.8,30.0,110.0,90.0,13.0,29.0,8.0,1.0,3.0,13.0,5.0,0.0,17.0,25.0,0.322,0.426,0.533,0.959,175.0,0.425,175.0,48.0,2.0,0.0,0.0,1.0,1.0,98/DH7,
152.0,Gabriel Arias,25.0,CLE,AL,0.6,31.0,109.0,99.0,17.0,24.0,6.0,0.0,4.0,11.0,2.0,1.0,8.0,31.0,0.242,0.303,0.424,0.727,108.0,0.313,101.0,42.0,2.0,1.0,0.0,1.0,0.0,*46/5H,
153.0,Isiah Kiner-Falefa,30.0,PIT,NL,0.7,30.0,109.0,100.0,11.0,28.0,3.0,1.0,0.0,7.0,6.0,2.0,7.0,20.0,0.28,0.333,0.33,0.663,87.0,0.31,88.0,33.0,2.0,1.0,1.0,0.0,0.0,*6/5,
154.0,Matt McLain,25.0,CIN,NL,0.4,25.0,109.0,94.0,16.0,15.0,1.0,0.0,4.0,12.0,5.0,0.0,14.0,34.0,0.16,0.275,0.298,0.573,58.0,0.293,67.0,28.0,2.0,1.0,0.0,0.0,0.0,4/DH,
155.0,Jake Burger,29.0,TEX,AL,-0.7,30.0,108.0,100.0,13.0,19.0,5.0,0.0,3.0,12.0,0.0,1.0,3.0,32.0,0.19,0.231,0.33,0.561,62.0,0.239,54.0,33.0,0.0,3.0,0.0,2.0,0.0,*3/DH,
156.0,Andrew McCutchen,38.0,PIT,NL,0.7,28.0,108.0,94.0,10.0,25.0,6.0,0.0,3.0,12.0,1.0,0.0,13.0,19.0,0.266,0.361,0.426,0.787,119.0,0.351,118.0,40.0,3.0,1.0,0.0,0.0,0.0,D/9H,
157.0,Ryan Mountcastle,28.0,BAL,AL,0.1,31.0,107.0,100.0,13.0,20.0,5.0,0.0,2.0,8.0,0.0,0.0,5.0,28.0,0.2,0.243,0.31,0.553,62.0,0.278,81.0,31.0,3.0,1.0,0.0,1.0,0.0,*3/HD,
158.0,Jasson Domínguez#,22.0,NYY,AL,0.2,27.0,106.0,94.0,14.0,21.0,7.0,0.0,2.0,12.0,3.0,0.0,11.0,34.0,0.223,0.311,0.362,0.673,94.0,0.318,99.0,34.0,1.0,1.0,0.0,0.0,0.0,*7/D,
159.0,Adam Frazier*,33.0,PIT,NL,0.6,31.0,106.0,95.0,10.0,22.0,3.0,0.0,2.0,9.0,3.0,1.0,8.0,16.0,0.232,0.302,0.326,0.628,76.0,0.298,80.0,31.0,4.0,2.0,0.0,1.0,0.0,*4/H79,
160.0,Gunnar Henderson*,24.0,BAL,AL,0.3,25.0,105.0,100.0,12.0,25.0,6.0,1.0,3.0,5.0,3.0,0.0,5.0,28.0,0.25,0.286,0.42,0.706,106.0,0.309,98.0,42.0,3.0,0.0,0.0,0.0,1.0,*6/D,
161.0,Tommy Pham,37.0,PIT,NL,-0.2,28.0,105.0,94.0,9.0,16.0,4.0,0.0,0.0,6.0,3.0,0.0,9.0,29.0,0.17,0.248,0.213,0.46,31.0,0.234,31.0,20.0,6.0,1.0,0.0,1.0,1.0,*7/9H,
162.0,Yainer Diaz,26.0,HOU,AL,0.1,27.0,104.0,101.0,11.0,22.0,4.0,1.0,3.0,14.0,0.0,1.0,3.0,22.0,0.218,0.24,0.366,0.607,72.0,0.276,77.0,37.0,2.0,0.0,0.0,0.0,0.0,*2/DH,
163.0,Edouard Julien*,26.0,MIN,AL,-0.4,29.0,104.0,91.0,8.0,18.0,5.0,0.0,2.0,8.0,0.0,2.0,11.0,29.0,0.198,0.288,0.319,0.607,72.0,0.264,68.0,29.0,2.0,1.0,0.0,1.0,0.0,4/DH6,
164.0,LaMonte Wade Jr.*,31.0,SFG,NL,-0.9,30.0,104.0,88.0,8.0,11.0,5.0,1.0,1.0,11.0,0.0,0.0,14.0,26.0,0.125,0.243,0.239,0.481,41.0,0.222,36.0,21.0,2.0,0.0,1.0,1.0,1.0,*3/HD,
165.0,Will Smith,30.0,LAD,NL,1.3,26.0,103.0,84.0,11.0,27.0,6.0,0.0,3.0,19.0,2.0,1.0,15.0,22.0,0.321,0.417,0.5,0.917,162.0,0.398,160.0,42.0,0.0,1.0,0.0,3.0,0.0,*2/H,
