PCode,Name,Team,Season,VS LEFTY_AVG,VS LEFTY_AB,VS LEFTY_H,VS LEFTY_2B,VS LEFTY_3B,VS LEFTY_HR,VS LEFTY_RBI,VS LEFTY_BB,VS LEFTY_HBP,VS LEFTY_SO,VS LEFTY_GIDP,VS RIGHTY_AVG,VS RIGHTY_AB,VS RIGHTY_H,VS RIGHTY_2B,VS RIGHTY_3B,VS RIGHTY_HR,VS RIGHTY_RBI,VS RIGHTY_BB,VS RIGHTY_HBP,VS RIGHTY_SO,VS RIGHTY_GIDP
50054,Cheon Seong-ho,KT,2026,0.175,40,7,0,0,0,4,2,1,8,1,0.312,170,53,13,2,2,23,12,3,27,6
78548,Jang Sung-woo,KT,2026,0.143,70,10,2,0,3,12,17,1,22,3,0.225,111,25,7,0,7,26,24,1,34,5
68050,Kang Baek-ho,KT,2026,0.238,105,25,5,0,3,17,11,1,27,5,0.308,292,90,16,0,25,82,34,1,64,2
64004,Kim Min-hyuck,KT,2026,0.276,98,27,1,1,0,11,11,3,15,2,0.303,198,60,6,1,1,20,13,1,36,5
53036,Ryu Hyun-in,KT,2026,0.348,23,8,3,0,0,3,2,0,3,0,0.29,124,36,8,0,1,10,8,2,29,1
56034,Sam Hilliard,KT,2026,0.255,153,39,2,1,10,38,9,2,56,0,0.321,293,94,15,2,21,63,37,0,87,3
79402,Sang-su Kim,KT,2026,0.295,95,28,5,1,0,11,16,3,15,1,0.284,243,69,5,0,1,23,31,3,37,7
56613,Aderlin Rodriguez,Kia,2026,0.234,47,11,5,0,3,12,2,0,8,3,0.271,70,19,0,0,7,19,5,1,15,1
72443,Choi Hyoung-woo,Kia,2026,0.339,112,38,3,0,4,23,16,2,24,5,0.323,291,94,20,0,11,69,48,3,57,11
66606,Choi Won-jun,Kia,2026,0.356,149,53,6,1,1,15,17,6,26,1,0.326,316,103,23,2,7,46,39,0,46,2
56632,Jarryd Dale,Kia,2026,0.244,41,10,2,0,0,1,5,0,4,2,0.271,70,19,2,0,1,5,8,0,10,2
52605,Kim Do-yeong,Kia,2026,0.294,126,37,7,0,12,24,26,2,30,3,0.303,297,90,18,1,27,71,48,4,54,5
78603,Kim Sun-bin,Kia,2026,0.347,118,41,11,1,0,17,20,3,11,3,0.235,243,57,7,0,1,24,36,3,30,6
63260,Lee Woo-sung,Kia,2026,0.323,93,30,6,0,2,15,6,1,15,3,0.294,252,74,9,0,4,27,16,2,41,6
62947,Na Sung-bum,Kia,2026,0.278,133,37,5,0,5,22,16,3,42,4,0.323,269,87,18,0,22,59,32,3,78,6
69636,Oh Sun-woo,Kia,2026,0.125,16,2,1,0,1,1,2,0,4,0,0.235,51,12,4,0,2,5,8,2,16,0
64646,Park Chan-ho,Kia,2026,0.339,118,40,4,0,1,12,14,1,13,2,0.268,317,85,17,2,4,35,35,1,53,9
55636,Park Jae-hyun,Kia,2026,0.263,137,36,5,2,2,17,1,0,30,0,0.312,279,87,15,3,13,43,24,0,58,4
50657,Park Min,Kia,2026,0.232,69,16,2,0,2,10,4,0,9,2,0.188,85,16,3,0,1,10,10,2,20,3
76267,Choi Joo-hwan,Kiwoom,2026,0.194,62,12,2,0,0,5,7,1,11,0,0.242,182,44,8,1,1,20,30,0,30,8
55392,Eo Joon-seo,Kiwoom,2026,0.333,18,6,0,0,0,1,0,2,6,0,0.182,55,10,1,0,0,1,4,0,14,0
64340,Im Ji-yeol,Kiwoom,2026,0.241,29,7,1,0,0,2,3,0,9,1,0.19,42,8,2,0,1,2,6,1,13,3
56305,Keston Hiura,Kiwoom,2026,0.368,38,14,1,0,3,10,11,0,12,0,0.218,156,34,4,0,5,19,11,6,57,3
